ym,size_factor,value_factor,mom_factor,qual_factor,lowvol_factor,rev_factor,ewtret,vwtret
2004m10,-2.5332036,-2.144485,-.57269764,-.37526131,-.35617372,.44890022,2.92,4.52
2004m11,.10168648,-.029435158,.8290925,-.51156664,-.49814734,-2.0928385,4.91,4.78
2004m12,-1.2601209,3.3929515,.19271946,-2.6156762,-.91726243,.095142365,4.67,5.16
2005m1,4.0192785,1.8410554,-1.031661,-.81379747,.5781095,2.5407071,-5.21,-7.55
2005m2,-1.9256293,-.56792164,.49574685,2.0303669,-1.1779978,1.4723341,1.46,2.17
2005m3,-.19731939,2.0037837,-1.1174984,-1.0637974,.37770963,2.5326526,-2.15,-1.64
2005m4,-6.2427053,-4.4261856,.20562029,1.6517944,.16024615,2.7525213,2.26,4.05
2005m5,-.55428505,-2.2290056,-1.0217888,-.63749146,.39279744,1.2284412,3.07,3.57
2005m6,1.8674622,1.4036617,1.1507812,-.36439514,-.1423036,1.5981264,5.17,4.73
2005m7,-1.9697542,-1.9350829,2.1756077,-.82381773,.53353894,.90672827,4.21,6.510000000000001
2005m8,.36227345,-1.0625346,-.8640728,.79665399,-.39028278,1.7094505,-4.12,-4.41
2005m9,-.81277585,-1.1308665,.75679278,2.293715,1.5297122,-.15470195,-.89,-.14
2005m10,.17625713,-.23069847,-.16818237,.76355469,.39391598,-2.4885795,-2.51,-2.52
2005m11,-5.1007075,-.65468121,2.8638051,-.42102051,.64482796,4.1018467,2.83,4.46
2005m12,1.6709937,1.6458116,-1.3668988,-3.1098847,-.98524845,.89117134,.36,.08
2006m1,-2.6759143,.81995916,.54765034,.52182198,1.3594095,.71866083,5.5,6.54
2006m2,-.94473827,-2.4392223,.57138121,2.365351,1.1009778,-.30800951,.54,1.64
2006m3,-.37811089,-.74030447,2.9267831,1.9613466,1.385257,-2.2459617,4.35,4.97
2006m4,-.76745367,1.7508752,.046810627,-2.8156474,-.32832333,1.9814329,-2.66,-3.03
2006m5,1.9724971,.16452837,.89850235,.17712235,1.0570996,.74702907,-2.19,-2.76
2006m6,-.5538063,-1.3944869,1.6657736,-.92560124,.96144116,2.8151231,4.06,4.9
2006m7,-2.7208281,-2.4117548,1.3778691,1.6938176,1.9605675,-.50890446,1.55,2.98
2006m8,.35710287,-.70607615,1.0885401,.11691093,-.58126014,-2.3482382,3.44,3.38
2006m9,1.7378523,-1.4884399,-2.9755981,-.87986469,-.65216756,1.4479915,2.04,2.03
2006m10,.58789444,-.17035961,-1.1900849,.7640748,-1.7623556,-1.4584637,5.800000000000001,6.16
2006m11,-2.9346128,-4.9512215,-.64645863,-1.0854545,.24828835,3.187058,2.58,4.37
2006m12,1.4447432,1.2472253,-.09060365,2.1501384,.76204067,.081643879,.6,-1.17
2007m1,-7.1923819,-4.9536834,1.1001987,-.50728226,.55248064,2.9599309,3.67,7.64
2007m2,1.3076077,2.7587943,-1.7651737,-.062612534,-.59448391,1.4422699,-2.51,-2.74
2007m3,2.6638663,3.2860172,.43328381,.25799227,-1.1062456,-2.4251719,-2.38,-2.49
2007m4,.23421584,-.29747733,-.26198405,.72032273,1.1228189,.87308532,.9199999999999999,.15
2007m5,2.2616584,3.2423711,-2.4403706,-.58735681,-.81892955,2.1264906,.49,.15
2007m6,6.196764,6.3034329,-.42144489,2.3396854,3.4270897,-5.2197528,-6.04,-8.949999999999999
2007m7,1.5073562,-2.4165211,2.334321,.16533041,-.25010306,-.47450876,-11.52,-8.92
2007m8,-1.9189968,-1.3256373,1.8118739,-.34577179,-1.005708,4.9128194,1.08,5.26
2007m9,-2.6169968,-4.9312396,-.29794598,2.9483118,.3247681,.3589468,3.17,4.35
2007m10,-1.6881948,-1.1315732,1.8574662,2.6118889,-.60464692,-.067214727,-1.64,.9299999999999999
2007m11,3.5222702,-4.3690653,3.569829,6.7388868,1.0787976,-2.0397205,-9.049999999999999,-8.630000000000001
2007m12,1.8858531,-2.4883919,2.0580025,2.5932093,1.2323976,-2.2268925,-3.21,-4.23
2008m1,2.0909548,.020184755,-4.799118,-.64790177,-.78164721,1.1861486,2.69,-.35
2008m2,.13096762,-1.446429,.37223697,1.6789322,.19445385,-.93383849,-3.95,-3.91
2008m3,-5.7526526,-6.8261881,3.3647785,2.4341249,-.26983967,2.8149986,-1.12,3.35
2008m4,-1.8282719,1.4314346,.95694494,-.72020721,-.38692579,1.0555625,5.87,6.38
2008m5,.02259922,2.6345363,-.98176825,-.95839548,.38387969,1.4641517,-.14,.84
2008m6,2.0641088,-5.1954775,.7608223,2.5936794,.62064874,1.1511335,-13.06,-11.41
2008m7,3.583406,-6.7270594,5.770997,12.131483,5.7092767,-4.471786,1.27,2.83
2008m8,-1.6229606,1.3848186,-1.8267701,1.342978,.34842074,4.4643779,2.31,2.11
2008m9,4.8064957,-14.100908,14.716053,9.7629805,3.6803293,-6.3977499,-3.04,-.41
2008m10,6.41819,-13.916544,9.3181267,13.553652,1.2854775,-8.3754005,-29.89,-30.21
2008m11,8.990159,-16.338703,7.6178951,19.608368,4.5912619,-22.383057,-21.71,-21.43
2008m12,2.7127695,6.9679585,-9.6704435,-13.340993,-2.0007854,16.281685,13.01,15.36
2009m1,2.5536938,-6.1159496,-1.4743385,.87276649,.26469582,3.9725065,-11.31,-16.51
2009m2,3.3432436,-10.947622,12.182464,4.9307823,3.2709134,-5.783926,-20.62,-19.28
2009m3,1.788271,-9.097168,1.9396443,4.2300663,4.3649817,-3.2584178,7.57,4.42
2009m4,-14.302473,47.072308,-23.951281,-20.090147,-13.993524,12.107035,33.88,27.88
2009m5,-3.9208026,10.932725,-.7424624,.97035706,-.95304435,-3.0197604,4.79,2.13
2009m6,5.3686113,-1.2412536,.7208333,1.8501637,-.011434453,3.4079192,-1.05,-2.56
2009m7,1.2867317,.06479454,1.8325305,3.9966063,4.7511911,-2.9845481,7.33,10.12
2009m8,-5.057054,12.642823,5.3015881,-14.032555,-4.5220561,3.6609144,16.15,12.18
2009m9,-4.5869069,9.3994484,3.1433506,-5.7900267,-2.0759046,-3.4864326,9.41,6.38
2009m10,.15251112,-7.4846067,-2.2708848,5.0940228,1.4775969,6.1123061,-6.69,-4.79
